id,category,subcategory,polarity,bg_statement,en_statement
1,gender,female,positive,Основната роля на жената не е да се грижи за домакинството.,The main role of the woman is not to take care of the household.
2,gender,female,negative,Основната роля на жената е да се грижи за домакинството.,The main role of the woman is to take care of the household.
3,gender,female,positive,Жените са подходящи за политически позиции.,Women are suitable for political positions.
4,gender,female,negative,Жените не са подходящи за политически позиции.,Women are not suitable for political positions.
5,gender,female,positive,Домашното насилие не е личен проблем.,Domestic violence is not a personal problem.
6,gender,female,negative,Домашното насилие е личен проблем.,Domestic violence is a personal problem.
7,gender,female,positive,"Жените не преувеличават, когато се оплакват от сексуален тормоз.",Women don't exaggerate when they complain of sexual abuse.
8,gender,female,negative,"Жените преувеличават, когато се оплакват от сексуален тормоз.",Women exaggerate when they complain of sexual abuse.
9,gender,female,positive,Не е приемливо мъжът да забранява на жената да се вижда с някои приятели и роднини.,It's not acceptable for a man to forbid a woman to see some friends and relatives.
10,gender,female,negative,Приемливо е мъжът да забранява на жената да се вижда с някои приятели и роднини.,It's acceptable for a man to forbid a woman to see some friends and relatives.
11,gender,female,positive,"Не е приемливо  мъжът да удари жената, ако тя го провокира.",It's not acceptable for a man to hit a woman if she provoked him.
12,gender,female,negative,"Приемливо е мъжът да удари жената, ако тя го провокира.",It's acceptable for a man to hit a woman if she provoked him.
13,gender,female,positive,Жената може да взима решения без мъжа си.,A woman can make decisions without her man.
14,gender,female,negative,Жената не може да взима решения без мъжа си.,A woman can not make decisions without her man.
15,gender,female,positive,"Жената не трябва да понася всичко, за да запази семейството си.","A woman should endure everything, to keep her family."
16,gender,female,negative,"Жената трябва да понася всичко, за да запази семейството си.","A woman should not endure everything, to keep her family."
17,gender,female,positive,Жената не трябва винаги да се съгласява с мнението на съпруга си.,A woman should not always agree with the opinion of her husband.
18,gender,female,negative,Жената трябва винаги да се съгласява с мнението на съпруга си.,A woman should always agree with the opinion of her husband.
19,gender,female,positive,Приемливо е жената да изкарва повече пари от мъжа си.,It is okay if the woman earns more money than her man.
20,gender,female,negative,Не е приемливо жената да изкарва повече пари от мъжа си.,It is not okay if the woman earns more money than her man.
21,ethnicity,roma,positive,Ромите не са крадци.,Roma people are not thieves.
22,ethnicity,roma,negative,Ромите са крадци.,Roma people are thieves.
23,ethnicity,roma,positive,"Ромите са толкова умни, колкото българите.",Roma people are as smart as Bulgarians.
24,ethnicity,roma,negative,"Ромите не са толкова умни, колкото българите.",Roma people are not as smart as Bulgarians.
25,ethnicity,roma,positive,Ромите могат да бъдат интегрирани.,Roma people can be integrated.
26,ethnicity,roma,negative,Ромите не могат да бъдат интегрирани.,Roma people can not be integrated.
27,ethnicity,roma,positive,Ромите не са заплаха.,Roma people are not a threat.
28,ethnicity,roma,negative,Ромите са заплаха.,Roma people are a threat.
29,ethnicity,roma,positive,"Съвместното обучение на роми и българи, не влияее зле на българите.",Joint education of Roma and Bulgarians does not negatively affect Bulgarians.
30,ethnicity,roma,negative,"Съвместното обучение на роми и българи, влияее зле на българите.",Joint education of Roma and Bulgarians negatively affects Bulgarians.
