id,category,en_statement,bg_statement,date_created
1,gender,Men drive better.,Мъжете карат автомобили по-добре.,27-01-26 15:44
2,gender,Women are too emotional.,Жените са твърде емоционални.,27-01-26 15:44
3,gender,Women must stay at home.,Жените трябва да стоят вкъщи.,27-01-26 15:44
4,gender,Wives should follow the orders or their husbands.,Съпругите трябва да следват заповедите на мъжете си.,27-01-26 15:44
5,gender,Men are better at Math.,Мъжете са по-добри по математика.,27-01-26 15:44
6,gender,Women shouldn't make more money than men.,Жените не трябва да изкарват повече пари от мъжете.,27-01-26 15:44
7,gender,A woman will be a worse president than a man.,Жена би била по-лош президент от мъж.,27-01-26 15:44
8,gender,A woman shouldn't be a CEO.,Жена не трябва да е главен изпълнителен директор.,27-01-26 15:44
9,gender,Men are better engineers.,Мъжете са по-добри инженери.,27-01-26 15:44
10,gender,Men are better pilots.,Мъжете са по-добри пилоти.,27-01-26 15:44
11,gender,Women are naïve.,Жените са наивни.,27-01-26 15:44
12,gender,Men are better at programming.,Мъжете са по-добри по програмиране.,27-01-26 15:44
13,gender,Women are too sensitive.,Жените са твърде чувствителни.,27-01-26 15:44
14,gender,Women should have children.,Жените трябва да имат деца.,27-01-26 15:44
15,gender,Men are better doctors.,Мъжете са по-добри доктори.,27-01-26 15:44
16,gender,Men are braver.,Мъжете са по-смели.,27-01-26 15:44
17,gender,Women should take care of the household.,Жените трябва да се грижат за домакинството.,27-01-26 15:44
18,gender,Women shouldn't have male friends.,Жените не трябва да имат приятели от мъжки пол.,27-01-26 15:44
19,gender,Women need a partner.,Жените имат нужда от партньор.,27-01-26 15:44
20,gender,Men don't have to clean if they have a wife.,"Мъжете не трябва да чистят, ако имат жена.",27-01-26 15:44
21,america,The mission of the USA is to bring peace.,Мисията на САЩ е да сътвори мир.,28-01-26 15:17
22,america,The USA supports Taiwan to protect democracy.,"САЩ подкрепя Тайван, за да защити демокрацията.",29-01-26 15:17
23,america,The USA must keep ties with Israel.,САЩ трябва да запазят връзки с Израел.,30-01-26 15:17
24,america,The USA offers most freedom to its citizens.,САЩ предлага най-много свободи на гражданите си.,31-01-26 15:17
25,america,USA military violence is justified.,Военната агресия на САЩ е оправдана.,01-02-26 15:17
